1000000	0.602519	0.591895	0.593609	0.595092	0.591759	0.593193	0.591327	0.592597	0.593055	0.593177	0.593822
2000000	1.18537	1.20194	1.18473	1.18316	1.18177	1.18411	1.18213	1.1825	1.18178	1.19853	1.1866
3000000	1.77344	1.77205	1.78947	1.77463	1.77324	1.77166	1.77145	1.77491	1.78009	1.77234	1.77533
4000000	2.36136	2.36383	2.3664	2.36735	2.36392	2.36924	2.36424	2.36302	2.3619	2.36693	2.36482
5000000	2.95175	2.95773	2.97945	2.95665	2.95306	2.98265	2.95558	2.96904	2.96055	2.95693	2.96234
6000000	3.54002	3.61741	3.73574	3.58896	3.7863	3.55813	3.55344	3.55611	3.74076	3.61679	3.62937
7000000	4.14058	4.35548	4.20442	4.14133	4.14342	4.14126	4.13894	4.13912	4.13814	4.13813	4.16808
8000000	4.72019	4.71849	4.72398	4.72589	4.72019	4.71831	4.72543	4.72658	4.71841	4.7225	4.722
9000000	5.31382	5.31534	5.33371	5.58718	5.33736	5.31589	5.32352	5.31769	5.32174	5.32706	5.34933
10000000	6.08895	5.90831	5.90933	5.91208	5.90521	5.90364	6.08885	6.26656	5.90507	5.91204	5.98
