1000000	0.469053	0.459404	0.460134	0.458705	0.462827	0.462678	0.459504	0.462024	0.46002	0.458395	0.461274
2000000	0.923183	0.934938	0.923352	0.918122	0.93402	0.922742	0.919876	0.918396	0.918265	0.917309	0.92302
3000000	1.37737	1.37532	1.37767	1.37517	1.37968	1.377	1.37876	1.37927	1.38021	1.38329	1.37838
4000000	1.84316	1.84314	1.84168	1.8407	1.83672	1.90425	1.84244	1.84078	1.8371	1.83944	1.84694
5000000	2.29275	2.29868	2.29996	2.30058	2.30172	2.29882	2.29713	2.29737	2.30053	2.29833	2.29859
6000000	2.76129	2.75608	2.76048	2.75744	2.75928	2.7625	2.759	2.76124	2.76047	2.77063	2.76084
7000000	3.29329	3.21902	3.21969	3.21967	3.21907	3.22189	3.22064	3.22497	3.22716	3.22355	3.2289
8000000	3.68418	3.68097	3.67998	3.68321	3.68382	3.67924	3.68382	3.76512	3.67977	3.68185	3.69019
9000000	4.13931	4.14013	4.14073	4.13542	4.14204	4.15595	4.14649	4.14048	4.13943	4.13781	4.14178
10000000	4.60018	4.60212	4.69436	4.60012	4.60049	4.60268	4.60292	4.60536	4.61015	4.60191	4.61203
