1000000	0.465947	0.463842	0.463008	0.460634	0.459848	0.460741	0.460021	0.460396	0.460551	0.462035	0.461702
2000000	0.922988	0.921509	0.921826	0.921807	0.925921	0.918906	0.91975	0.918945	0.917821	0.919593	0.920907
3000000	1.37592	1.38838	1.37515	1.37603	1.37691	1.37619	1.37699	1.3758	1.3784	1.3775	1.37773
4000000	1.83799	1.83781	1.83465	1.83744	1.83846	1.83987	1.92133	1.83426	1.84868	1.83618	1.84667
5000000	2.29568	2.29759	2.29641	2.29781	2.29676	2.29516	2.29566	2.29489	2.29409	2.29353	2.29576
6000000	2.76488	2.75287	2.75259	2.75339	2.75189	2.75234	2.75258	2.75564	2.75278	2.7559	2.75449
7000000	3.21407	3.21388	3.21409	3.21316	3.21214	3.21171	3.21868	3.22166	3.22435	3.22639	3.21701
8000000	3.68696	3.6711	3.67289	3.67078	3.67453	3.67266	3.67958	3.67325	3.67031	3.67009	3.67422
9000000	4.13229	4.1326	4.14168	4.13273	4.14904	4.13136	4.13199	4.16049	4.1339	4.15183	4.13979
10000000	4.59223	4.58964	4.59554	4.59185	4.59117	4.59021	4.60722	4.64033	4.59782	4.66927	4.60653
