1000000	0.770968	0.583201	0.591316	0.58504	0.584456	0.583575	0.584702	0.583034	0.58378	0.584008	0.603408
2000000	1.34525	1.16655	1.1662	1.16636	1.16549	1.16662	1.16404	1.16634	1.16521	1.16637	1.18384
3000000	1.92597	1.74528	1.74312	1.74333	1.76619	1.74244	1.74431	1.74422	1.74394	1.74298	1.76418
4000000	2.50075	2.31963	2.32275	2.32021	2.35517	2.31774	2.32098	2.32242	2.31965	2.31945	2.34188
5000000	3.08737	2.93928	2.92913	2.94259	2.9409	2.9398	2.93788	2.93861	2.9616	2.96252	2.95797
6000000	3.73548	3.53597	3.55651	3.55992	3.53946	3.52697	3.53109	3.52421	3.52636	3.52617	3.55621
7000000	4.28594	4.11353	4.12002	4.11785	4.11723	4.11543	4.11995	4.11049	4.11061	4.11557	4.13266
8000000	4.88604	4.73421	4.70501	4.7023	4.70543	4.70374	4.70334	4.70477	4.70336	4.70498	4.72532
9000000	5.48717	5.30089	5.3159	5.29018	5.29024	5.30017	5.27414	5.31715	5.32011	5.31194	5.32079
1000000	0.605633	0.607167	0.596587	0.59762	0.595995	0.59792	0.59733	0.597677	0.606028	0.597556	0.599951
2000000	1.1904	1.1953	1.2042	1.1959	1.19386	1.19948	1.21163	1.19341	1.19341	1.20263	1.19802
3000000	1.78516	1.80053	1.79034	1.79093	1.78643	1.79004	1.79568	1.79409	1.79249	1.78331	1.7909
4000000	2.38522	2.38862	2.38262	2.38695	2.38441	2.39136	2.38192	2.38692	2.38647	2.38841	2.38629
5000000	2.9757	2.97891	2.9728	2.98596	2.99287	2.9874	2.98315	2.99392	2.98425	2.98529	2.98402
6000000	3.57712	3.57579	3.58967	3.57228	3.56227	3.5778	3.57428	3.56735	3.56359	3.57204	3.57322
7000000	4.1735	4.16623	4.17066	4.18241	4.18872	4.18755	4.17264	4.17833	4.17009	4.17868	4.17688
8000000	4.77019	4.77582	4.7767	4.77922	4.76887	4.77612	4.79342	4.7838	4.77225	4.77661	4.7773
9000000	5.37502	5.37318	5.37291	5.37504	5.37544	5.37253	5.36506	5.37239	5.38438	5.37328	5.37392
10000000	5.98042	5.98947	5.96172	5.99221	5.96415	6.01195	6.0598	5.99484	5.96315	5.98635	5.99041
